"","district_name","Pct_Homeless_2018","district_lea","district_bak"
"38","WHITE CO. CENTRAL SCHOOL DIST.",0.0729442970822281,7304000,"WHITE_CO._CENTRAL__DIST."
"39","CARLISLE SCHOOL DISTRICT",0.0725552050473186,4303000,"CARLISLE__"
"40","OZARK MOUNTAIN SCHOOL DISTRICT",0.0717781402936378,6505000,"OZARK_MOUNTAIN__"
"41","MIDLAND SCHOOL DISTRICT",0.0708661417322835,3211000,"MIDLAND__"
"42","BAY SCHOOL DISTRICT",0.0707395498392283,1601000,"BAY__"
"43","CONCORD SCHOOL DISTRICT",0.0703296703296703,1201000,"CONCORD__"
"44","MOUNTAINBURG SCHOOL DISTRICT",0.0700325732899023,1703000,"MOUNTAINBURG__"
"45","PINE BLUFF LIGHTHOUSE ACADEMY",0.0695970695970696,3541700,"PINE_BLUFF_LIGHTHOUSE_ACADEMY"
"46","MULBERRY/PLEASANT VIEW BI-COUNTY SCHO",0.0682926829268293,1704000,"MULBERRY/PLEASANT_VIEW_BI-COUNTY_SCHO"
"47","NEVADA SCHOOL DISTRICT",0.0675,5008000,"NEVADA__"
"48","BISMARCK SCHOOL DISTRICT",0.0662650602409639,3001000,"BISMARCK__"
"49","POYEN SCHOOL DISTRICT",0.0656565656565657,2703000,"POYEN__"
"50","COTTER SCHOOL DISTRICT",0.0655080213903743,302000,"COTTER__"
"51","JESSIEVILLE SCHOOL DISTRICT",0.0636792452830189,2604000,"JESSIEVILLE__"
"52","HARRISBURG SCHOOL DISTRICT",0.0630252100840336,5602000,"HARRISBURG__"
"53","MARMADUKE SCHOOL DISTRICT",0.0584958217270195,2803000,"MARMADUKE__"
"54","ATKINS SCHOOL DISTRICT",0.0567226890756303,5801000,"ATKINS__"
"55","HARRISON SCHOOL DISTRICT",0.0562174236783321,503000,"HARRISON__"
"56","RESPONSIVE EDUCATION SOLUTIONS QUEST",0.0552147239263804,6054700,"RESPONSIVE_EDUCATION_SOLUTIONS_QUEST"
"57","YELLVILLE-SUMMIT SCHOOL DISTRICT.",0.0545685279187817,4502000,"YELLVILLE-SUMMIT__."
"58","EAST POINSETT CO. SCHOOL DIST.",0.0529500756429652,5608000,"EAST_POINSETT_CO.__DIST."
"59","CLARENDON SCHOOL DISTRICT",0.0526315789473684,4802000,"CLARENDON__"
"60","PEA RIDGE SCHOOL DISTRICT",0.0521500457456542,407000,"PEA_RIDGE__"
"61","DES ARC SCHOOL DISTRICT",0.0514184397163121,5901000,"DES_ARC__"
"62","OUACHITA SCHOOL DISTRICT",0.0512295081967213,3005000,"OUACHITA__"
"63","HOT SPRINGS SCHOOL DISTRICT",0.050439217908756,2603000,"HOT_SPRINGS__"
"64","ELKINS SCHOOL DISTRICT",0.0488188976377953,7201000,"ELKINS__"
"65","NORTH LITTLE ROCK SCHOOL DISTRICT",0.0487655079228596,6002000,"NORTH_LITTLE_ROCK__"
"66","PARAGOULD SCHOOL DISTRICT",0.0481852315394243,2808000,"PARAGOULD__"
"67","MAYNARD SCHOOL DISTRICT",0.0463157894736842,6102000,"MAYNARD__"
"68","SALEM SCHOOL DISTRICT",0.0456674473067916,2502000,"SALEM__"
"69","HOPE SCHOOL DISTRICT",0.045109423849933,2903000,"HOPE__"
"70","BLEVINS SCHOOL DISTRICT",0.0447154471544715,2901000,"BLEVINS__"
"71","RIVERSIDE SCHOOL DISTRICT",0.0433070866141732,1613000,"RIVERSIDE__"
"72","POTTSVILLE SCHOOL DISTRICT",0.0431738623103851,5804000,"POTTSVILLE__"
"73","MAYFLOWER SCHOOL DISTRICT",0.0429389312977099,2305000,"MAYFLOWER__"
"74","CENTERPOINT SCHOOL DISTRICT",0.0425311203319502,5502000,"CENTERPOINT__"
"75","LAMAR SCHOOL DISTRICT",0.0419426048565121,3604000,"LAMAR__"
"76","MANSFIELD SCHOOL DISTRICT",0.0410783055198973,6606000,"MANSFIELD__"
"77","CALICO ROCK SCHOOL DISTRICT",0.0408719346049046,3301000,"CALICO_ROCK__"
"78","GREEN FOREST SCHOOL DISTRICT",0.040785498489426,803000,"GREEN_FOREST__"
