"","id","id2","geography","households_estimate_total","less10_000","10k_to_14_999","15k_to_24_999","25k_to_34_999","35k_to_49_999","50k_to_74_999","75k_to_99_999","100k_to_149_999","150k_to_199_999","200k_plus","median_income","mean_income","pct_allocated_household_income","pct_allocated_family_income","pct_allocated_nonfamily_income","Low_Wage_Households"
"33","0500000US05065",5065,"Izard County, Arkansas",5189,9.4,7,15,15.1,16.6,16,13.5,5.5,0.8,1.2,39135,47766,30.3,"(X)","(X)",31.4
"34","0500000US05067",5067,"Jackson County, Arkansas",6179,11.6,10.7,15.9,14.4,15,13.8,8.3,5.4,2.3,2.5,32783,50779,34.4,"(X)","(X)",38.2
"35","0500000US05069",5069,"Jefferson County, Arkansas",27377,10.6,8.8,14.8,12.6,15.2,17.4,9,7.7,2.3,1.7,37630,51740,35.1,"(X)","(X)",34.2
"36","0500000US05071",5071,"Johnson County, Arkansas",9900,8.8,9.9,15.9,14.2,18.1,15.3,8.3,6.8,2,0.9,35758,47956,33.3,"(X)","(X)",34.6
"37","0500000US05073",5073,"Lafayette County, Arkansas",2860,17.3,8,14.2,13.6,12.4,14.8,7.8,7.2,1.8,2.9,32500,57784,35.1,"(X)","(X)",39.5
"38","0500000US05075",5075,"Lawrence County, Arkansas",6584,10.5,9.1,15.3,11.5,16.6,17.3,9.6,8.1,1.6,0.5,37603,47432,32.3,"(X)","(X)",34.9
"39","0500000US05077",5077,"Lee County, Arkansas",3541,19.3,11.5,16.3,12.4,10.2,13.6,9.5,5.3,0.9,1.1,27901,40950,38.1,"(X)","(X)",47.1
"40","0500000US05079",5079,"Lincoln County, Arkansas",3928,10.1,8.5,15.9,13.4,11.7,19.1,10.3,9.6,0.4,1.1,38873,50297,39.5,"(X)","(X)",34.5
"41","0500000US05081",5081,"Little River County, Arkansas",5300,7.8,8.3,19.3,11.4,12.5,18,9.8,8.3,3.1,1.5,36963,54818,36.1,"(X)","(X)",35.4
"42","0500000US05083",5083,"Logan County, Arkansas",8269,8.4,9.1,15,13.9,17.2,18.7,7.6,6.4,2,1.7,37982,50188,46.5,"(X)","(X)",32.5
"43","0500000US05085",5085,"Lonoke County, Arkansas",26281,5.5,4.9,9.1,10.1,13.9,21.6,14.5,14.5,4.1,1.8,57290,66979,28.9,"(X)","(X)",19.5
"44","0500000US05087",5087,"Madison County, Arkansas",6190,6.7,7.4,15.2,11.9,15.1,19,13.7,6.9,1.7,2.3,42894,58857,33.1,"(X)","(X)",29.3
"45","0500000US05089",5089,"Marion County, Arkansas",6663,10.9,8.3,13.3,15.9,18.8,18.5,7,5.1,1.7,0.5,36113,44328,37.1,"(X)","(X)",32.5
"46","0500000US05091",5091,"Miller County, Arkansas",17020,9.4,7.9,13.6,11.6,15.3,16.9,12,9.4,2.3,1.6,41862,55046,42.7,"(X)","(X)",30.9
"47","0500000US05093",5093,"Mississippi County, Arkansas",17238,11.6,9.6,14.9,11.8,16.9,15.4,7.9,7.9,2.5,1.6,36417,50578,39.3,"(X)","(X)",36.1
"48","0500000US05095",5095,"Monroe County, Arkansas",3328,15.4,10.1,15.5,11.4,16.6,14.3,8.3,6.3,0.2,2,31584,44440,47.3,"(X)","(X)",41
"49","0500000US05097",5097,"Montgomery County, Arkansas",3855,7.1,8.5,17.2,16.8,13,17.8,8.2,8.9,1.1,1.2,35252,49080,39.5,"(X)","(X)",32.8
"50","0500000US05099",5099,"Nevada County, Arkansas",3452,9.5,7,19,11.9,17,20.7,6.4,7.4,0.7,0.4,36995,44911,34.2,"(X)","(X)",35.5
"51","0500000US05101",5101,"Newton County, Arkansas",3152,10.2,10.1,14.8,12.2,18.5,16.9,11,5.5,0.2,0.7,38134,44443,36.8,"(X)","(X)",35.1
"52","0500000US05103",5103,"Ouachita County, Arkansas",10016,13.9,10.7,15.7,12.9,12.4,17.5,7.2,6,2.2,1.4,32136,45461,39.6,"(X)","(X)",40.3
"53","0500000US05105",5105,"Perry County, Arkansas",3692,6.4,5,12.1,13.7,16.6,20.5,10.9,10.8,2.6,1.3,46168,57289,45.6,"(X)","(X)",23.5
"54","0500000US05107",5107,"Phillips County, Arkansas",7823,14.4,13.6,18.4,14.5,11.8,11.6,7.5,4.4,1.6,2.1,26652,42299,41.2,"(X)","(X)",46.4
"55","0500000US05109",5109,"Pike County, Arkansas",4313,8.9,8.2,16.8,13.7,15.5,18.8,8,7.2,2.4,0.5,36893,48645,40.1,"(X)","(X)",33.9
"56","0500000US05111",5111,"Poinsett County, Arkansas",9483,9.3,8.6,14.1,14.8,17.9,20.4,7.8,6,0.7,0.4,37487,45511,34.1,"(X)","(X)",32
"57","0500000US05113",5113,"Polk County, Arkansas",8058,9.1,8.5,18.1,15.9,17.7,15.1,6.5,6.1,1.9,1.1,33870,45664,35.9,"(X)","(X)",35.7
"58","0500000US05115",5115,"Pope County, Arkansas",23147,8.5,8.8,12.7,13.7,15,18.1,9.1,8.3,3.1,2.6,40668,56369,30.5,"(X)","(X)",30
"59","0500000US05117",5117,"Prairie County, Arkansas",3920,10.8,6.4,15.1,11.7,19,17.1,8.9,8.9,1.4,0.8,41244,49114,46.4,"(X)","(X)",32.3
"60","0500000US05119",5119,"Pulaski County, Arkansas",155435,8.5,5.3,11.7,11.1,14.4,17.7,10.5,11.5,4.5,4.9,48850,71902,32.3,"(X)","(X)",25.5
"61","0500000US05121",5121,"Randolph County, Arkansas",7339,10.7,10.6,13.7,13.6,17.5,16.5,6.1,9.1,1.4,0.8,35930,49821,30.6,"(X)","(X)",35
"62","0500000US05123",5123,"St. Francis County, Arkansas",9325,14.8,10.4,15.1,12.3,15.1,17.7,7,4.7,1.5,1.4,33102,43681,49,"(X)","(X)",40.3
"63","0500000US05125",5125,"Saline County, Arkansas",43314,3.3,3.8,8.5,10.8,15.1,20.6,14.1,15.7,4.8,3.3,58985,73050,32.9,"(X)","(X)",15.6
